Year;Cryptophyceae;Diatomophyceae;Litostomatea;Nostocophyceae;Prasinophyceae;DinoAUMX;DinoHT
1994;15312643.2041667;239965509.197222;51150140.4222222;18948765.5277778;10674808.3333333;226383688.9;11018559.8888889
1995;13913268.25;11377594.7027778;99360532.0666667;40470618.7833333;17990725;152010087.856944;9671044.11666667
1996;6072244.40833333;49184127.7658333;53107801.9455556;31990474.5555556;19336025;195031719.464444;7735466.63333333
1997;9988115.90454545;66805985.2029545;48092952.95;61160903.4454545;12523400;90319010.9393939;11774076.6727273
1998;5481726.95694444;77536974.8555555;44211582.2305556;56337166.1805556;15869066.6666667;87629254.7756944;5983380.41666667
1999;10582353.6333333;19574778.9666667;46818587.5305556;67415460.775;12232733.3333333;140452746.272917;4437369.35
2000;11015631.2633333;19800637.715;51405137.1966667;54294939.92;15199100;116643470.835;6486016.72666667
2001;7896447.16515152;114172315.382576;74176361.3424242;38103271.4;9348954.54545454;148820163.654545;6329910.33939394
2002;8038918.59090909;54900125.8439394;74986794.2242424;31252162.0606061;12464283.6363636;83627747.0780303;3315874.03030303
2003;3488808.72916667;33394117.3208333;71546340.5944444;26125705.4166667;10308916.6666667;148463438.291667;9519649.56111111
2004;6006381.65909091;32503836.9848485;43453789.8909091;43527261.3939394;13782672.7272727;72012788.1878788;4001423.9030303
2005;5526017.50694444;49733385.5895833;52234847.2333333;32940761.6805556;12771666.6666667;59891478.1034722;5324911.49166667
2006;14434203.45;58499628.86;64086898.12;37479453.0633333;12603343.3333333;83290218.1833333;7232795.8
2007;11106681.280303;138046198.966667;35044044.8333333;57754261.9454545;15061642.4242424;70181935.1507576;6460591.61515152
2008;11620019.9652778;73942731.6131945;47433237.4979167;33288706.4972222;10322354.1666667;34719242.1444444;10126332.4555556
2009;4610835.59090909;36761125.3227273;33799440.4;51922433.1636364;8785590.90909091;131303501.051515;6014243.52727273
2010;8111054.16666667;98249126.5772727;67390496.3878788;59773347.4090909;11118739.3939394;101575315.420455;7185751.58181818
2011;9924408.02272727;52159846.8051515;43559448.0606061;46946350.3333333;16772636.3636364;55769543.3969697;7012705.30909091
